Iteration	SSE	Accepted
353	19452.35249999999	no
354	18843.692500000023	no
355	19269.752499999988	no
356	23664.052499999987	no
357	21431.112499999992	no
358	21258.9725	no
359	17941.552500000013	no
360	18379.83249999999	no
361	19467.65249999999	no
362	19202.652499999993	no
363	22279.052499999987	no
364	22136.392499999984	no
365	21957.432500000006	no
366	20296.692500000005	no
367	18363.752500000002	no
368	18117.112500000017	no
369	17825.572499999995	yes
370	22100.1525	no
371	17552.492499999986	yes
372	19128.772500000017	no
373	16097.772499999985	yes
374	19285.432500000006	no
375	18509.732499999987	no
376	17373.392499999994	no
377	18018.97250000001	no
378	21004.89249999999	no
379	22301.512499999997	no
380	17511.612500000017	no
381	19329.812499999996	no
382	22084.932499999988	no
383	18586.832500000004	no
384	18296.75249999999	no
385	19093.5525	no
386	21052.192499999976	no
387	17771.332499999993	no
388	24954.552500000005	no
389	21090.112499999992	no
390	19463.612499999992	no
391	19654.672499999986	no
392	17062.312500000015	no
393	18233.87249999999	no
394	20323.77249999998	no
395	17126.672499999993	no
396	17520.672500000008	no
397	20779.672500000004	no
398	19288.052500000005	no
399	16470.872500000005	yes
400	17648.132499999992	no
401	19887.3925	no
402	19220.472499999996	no
403	20103.632499999985	no
404	22189.992499999986	no
405	19668.832500000004	no
406	20881.1325	no
407	23640.39249999999	no
408	20038.39249999999	no
409	20262.872499999987	no
410	17801.59249999999	no
411	18646.152499999997	no
412	21734.952500000003	no
413	19909.452500000003	no
414	19124.292499999985	no
415	18643.6325	no
416	17220.112500000003	no
417	17764.192499999997	no
418	18659.51250000001	no
419	18122.772499999995	no
420	18096.99249999999	no
421	18318.43249999999	no
422	19902.8125	no
423	17724.73249999999	no
424	20953.672499999993	no
425	17584.7525	no
426	19047.332500000004	no
427	19103.61249999999	no
428	17727.23250000002	no
429	20856.992499999982	no
430	18506.4925	no
431	21586.632499999992	no
432	22477.15249999999	no
433	18720.472500000003	no
434	17468.59250000001	yes
435	18721.55250000001	no
436	18422.932500000006	no
437	18628.5325	no
438	18518.112499999996	no
439	15784.612500000003	yes
440	22184.7325	no
441	16748.6525	no
442	15973.53249999999	no
443	16763.85249999999	no
444	19330.6725	no
445	19960.992499999986	no
446	16345.592500000006	no
447	17388.632500000007	no
448	14220.05249999999	yes
449	19776.3925	no
450	17501.492500000008	no
451	16465.5525	no
452	14935.67249999999	no
453	17802.232500000006	no
454	21114.45249999999	no
455	19654.032499999998	no
456	15925.5525	no
457	18372.452500000003	no
458	20441.692500000005	no
459	22382.25250000001	no
460	19615.77249999999	no
461	19208.532500000012	no
462	17197.43249999998	no
463	16489.552499999998	no
464	19798.612499999992	no
465	19955.872499999994	no
466	17944.992500000008	no
467	19822.9125	no
468	17112.6925	no
469	17440.6125	no
470	17218.89250000001	no
471	21237.252500000002	no
472	23562.832500000015	no
473	19539.732499999987	no
474	20333.552500000005	no
475	18912.092500000002	no
476	21778.45249999999	no
477	19223.332499999986	no
478	22335.87249999998	no
479	18004.2925	no
480	20554.032499999987	no
481	15769.172499999997	no
482	20516.4125	no
483	18327.692499999986	no
484	17732.612499999985	no
485	19908.8925	no
486	19081.7125	no
487	20858.692500000005	no
488	19817.372499999983	no
489	16219.472499999993	no
490	19707.472499999993	no
491	18718.37249999999	no
492	17117.452500000003	no
493	19073.572500000002	no
494	17823.452500000007	no
495	18968.592499999988	no
496	18328.7325	no
497	16849.192499999997	no
498	20109.39249999999	no
499	21254.512499999993	no
500	18426.432499999984	no
501	17803.592500000006	no
502	17830.81249999999	no
503	21114.072500000002	no
504	20702.772499999995	no
505	17878.592499999995	no
506	18370.992499999997	no
507	18821.292499999996	no
508	19571.932499999995	no
