Iteration	SSE	Accepted
619	1798.4450000000004	no
620	1036.2974999999994	yes
621	1183.7849999999999	no
622	827.8849999999999	yes
623	938.2899999999998	yes
624	3961.3499999999995	no
625	1757.5499999999997	yes
626	743.3525000000002	yes
627	1613.925	no
628	1097.5125000000005	yes
629	675.4775000000002	yes
630	1358.695	yes
631	651.4975	yes
632	1521.7025	no
633	740.1624999999999	yes
634	820.5174999999997	yes
635	809.4050000000001	yes
636	1492.5475000000001	yes
637	1030.4524999999999	yes
638	1556.9524999999999	no
639	1054.0	yes
640	1134.6549999999997	no
641	1189.6599999999999	yes
642	787.1325000000004	yes
643	788.9149999999997	yes
644	730.6425000000002	yes
645	558.5274999999999	yes
646	709.3124999999998	yes
647	665.3599999999999	yes
648	876.4075000000001	no
649	649.2050000000002	yes
650	815.3574999999998	no
651	626.3700000000002	yes
652	713.3275	yes
653	958.5674999999999	yes
654	1049.3975	yes
655	1581.2149999999997	no
656	1124.6124999999997	yes
657	782.1350000000003	yes
658	802.335	yes
659	1337.635	no
660	843.6175000000002	yes
661	835.7824999999995	yes
662	1514.8299999999995	yes
663	1024.7499999999995	yes
664	1741.1099999999988	no
665	967.6525000000001	yes
666	1132.3825	no
667	1084.3675000000003	yes
668	976.8474999999999	yes
669	503.76250000000016	yes
670	845.9225000000004	yes
671	999.9999999999998	yes
672	1322.0100000000004	no
673	1590.9425	no
674	1190.7575	yes
675	829.0649999999999	yes
676	1390.7299999999998	yes
677	1447.2050000000004	no
678	1277.6199999999997	yes
679	2950.36	no
680	1564.9224999999994	no
681	1520.6849999999993	yes
682	3131.7474999999995	no
683	1258.4200000000003	yes
684	2197.2774999999992	no
685	2558.0474999999997	no
686	1388.2949999999996	yes
687	1727.0599999999984	yes
688	1916.4225000000008	yes
689	1778.5825000000002	yes
690	891.4474999999995	yes
691	550.8800000000001	yes
692	744.4800000000002	yes
693	542.9874999999998	yes
694	646.3524999999998	yes
695	924.1	yes
696	957.945	yes
697	999.48	yes
698	1337.0075000000006	no
699	1587.8849999999995	yes
700	1057.1375000000005	yes
701	1251.3975000000005	yes
702	493.0850000000001	yes
703	683.585	yes
704	504.58999999999986	yes
705	656.5175	no
706	594.4675000000002	yes
707	450.39250000000027	yes
708	596.6374999999999	yes
709	829.5525000000004	yes
710	1259.3874999999998	yes
711	1365.605	yes
712	1302.65	yes
713	1411.8674999999996	yes
714	1386.4449999999997	yes
715	2382.9049999999997	no
716	1617.8424999999997	yes
717	1336.5025000000005	yes
718	2713.5025	no
719	1711.4975	yes
720	2775.6324999999997	no
721	3542.2449999999994	no
722	2362.3050000000003	yes
723	4399.0825	no
724	2148.6499999999996	yes
725	2102.9624999999996	yes
726	1639.9750000000004	yes
727	1672.3799999999997	yes
728	1774.8824999999995	yes
729	1387.0849999999994	yes
730	2125.189999999999	no
731	1728.215	yes
732	1779.98	yes
733	979.2399999999999	yes
734	1519.4849999999997	yes
735	1335.2224999999999	yes
736	765.8749999999995	yes
737	1125.3450000000005	no
738	588.3425000000001	yes
739	840.5249999999999	yes
740	886.6099999999997	yes
741	1672.8399999999997	no
742	877.8274999999995	yes
